variety_name,variety_id,category
Certified Seed,1,Rice
Certified Seed Phka Rumduol,2,Rice
Certified Seed Red Jasmine,3,Rice
Collection rice,4,Rice
Crop (Non rice),5,Rice
Foundation Seed,6,Rice
General,7,Rice
Good Quality Seed,8,Rice
HNN,9,Rice
HNN Sticky Rice,10,Rice
High Quality Seed Red Jasmine,11,Rice
Local Variety,12,Rice
Mix (Rice and crop),13,Rice
Normal,14,Rice
Phka Rumduol,15,Rice
Red Jasmine,16,Rice
Register Seed,17,Rice
Register Seed Phka Rumduol,18,Rice
Sbai Mongkul Register Seed,19,Rice
Sticky HNN,20,Rice
Sticky Rice,21,Rice
White Rice,22,Rice
